"dates_filed","house_bill_no","full_title","short_title","republic_act_no","republic_act_title","significance","category","author","status","legislation","authorship","enacted_into_law","date_of_enactment"
2015-06-02,"HB05831","AN ACT ENHANCING THE CURRENT TAX SYSTEM BY IMPLEMENTING MEASURES THAT ENSURE TRANSPARENCY IN THE MANAGEMENT AND ACCOUNTING OF TAX INCENTIVES GRANTED TO GOVERNMENT AND NONGOVERNMENT ENTITIES, AND FOR OTHER PURPOSES"," Enhancing The Current Tax System By Implementing Measures That Ensure Transparency In The Management And Accounting Of Tax Incentives Granted To Government And Nongovernment Entitie","RA10708"," AN ACT ENHANCING TRANSPARENCY IN THE MANAGEMENT AND ACCOUNTING OF TAX INCENTIVES ADMINISTERED BY INVESTMENT PROMOTION AGENCIES","National","RULES","GERONA-ROBREDO, MARIA LEONOR; RODRIGUEZ, RUFUS B.; RODRIGUEZ, MAXIMO JR. B.","Republic Act RA10708 enacted on 2015-12-09","bill","primary author","yes",2015-12-09
2015-06-04,"HB05841","AN ACT CREATING THE AGRARIAN REFORM COMMISSION TO INVESTIGATE CIRCUMVENTIONS AND VIOLATIONS OF REPUBLIC ACT 6657, OTHERWISE KNOWN AS THE COMPREHENSIVE AGRARIAN REFORM LAW OF 1988, AS AMENDED BY REPUBLIC ACT 9700, AND OTHER AGRARIAN LAWS, AND APPROPRIATING FUNDS THEREFOR"," Creating The Agrarian Reform Commission To Investigate Circumventions And Violations Of Republic Act 6657, Otherwise Known As The Comprehensive Agrarian Reform Law Of 1988, As Amended By Republic Act 9700",,,"National","RULES","BAG-AO, KAKA J.","Business for the day on 2015-08-25","bill","co-author","no",
2015-07-06,"HB05907","AN ACT RECOGNIZING THE CAPACITY OF THE FILIPINO SPOUSE TO REMARRY WHEN THE ALIEN SPOUSE HAS OBTAINED A FOREIGN JUDICIAL DECREE OF ABSOLUTE DIVORCE, AMENDING FOR THE PURPOSE EXECUTIVE ORDER NO. 209, OTHERWISE KNOWN AS THE FAMILY CODE OF THE PHILIPPINES"," Recognizing The Capacity Of The Filipino Spouse To Remarry When The Alien Spouse Has Obtained A Foreign Judicial Decree Of Absolute Divorce",,,"National","RULES","RODRIGUEZ, RUFUS B.; RODRIGUEZ, MAXIMO JR. B.; GUNIGUNDO, MAGTANGGOL I T.","Approved by the House on 2015-08-24, transmitted to the Senate on 2015-08-27 and received by the Senate on 2015-08-27","bill","co-author","no",
2015-08-24,"HB06043","AN ACT INTRODUCING REFORMS IN THE SANGGUNIANG KABATAAN, AMENDING FOR THE PURPOSE CERTAIN SECTIONS OF REPUBLIC ACT NO. 7160, AS AMENDED OTHERWISE KNOWN AS THE LOCAL GOVERNMENT CODE OF 1991"," Introducing Reforms In The Sangguniang Kabataan, Amending For The Purpose Certain Sections Of Republic Act No. 7160, As Amended Otherwise Known As The Local Government Code Of 1991","RA10742"," AN ACT ESTABLISHING REFORMS IN THE SANGGUNIANG KABATAAN CREATING ENABLING MECHANISMS FOR MEANINGFUL YOUTH PARTICIPATION IN NATION-BUILDING, AND FOR OTHER PURPOSES","National","RULES","DEL MAR, RAUL V.; BAG-AO, KAKA J.; GARAY, FLORENCIO C.; UMALI, REYNALDO V.; GUNIGUNDO, MAGTANGGOL I T.; TEODORO, MARCELINO R.; OAMINAL, HENRY S.; ERICE, EDGAR R.; GUTIERREZ, IBARRA III M.; BELLO, WALDEN; TAMBUNTING, GUS S.; VARGAS, ALFREDO III D.; CASTELO, WINSTON ""WINNIE""; DEL ROSARIO, ANTHONY G.; PANCHO, GAVINI ""APOL"" C.","Republic Act RA10742 enacted on 2016-01-15","bill","co-author","yes",2016-01-15
2015-08-26,"HB06062","AN ACT CREATING A SYSTEM OF FOOD DISTRIBUTION FOR ADDRESSING THE NUTRITIONAL NEEDS OF THE PEOPLE PROVIDING FOR ITS PROCUREMENT PROCESS AND APPROPRIATING FUNDS THEREFOR AND FOR OTHER PURPOSES",,,,"National","FOOD SECURITY","GERONA-ROBREDO, MARIA LEONOR","Pending with the Committee on FOOD SECURITY since 2015-09-01","bill","primary author","no",
2015-09-08,"HB06117","AN ACT TO ENFORCE GREATER ACCOUNTABILITY IN PUBLIC FINANCIAL MANAGEMENT (PFM) BY STRENGTHENING CONGRESS' POWER OF THE PURSE, INSTITUTING AN INTEGRATED PFM SYSTEM, AND INCREASING BUDGET TRANSPARENCY AND PARTICIPATION, AND FOR OTHER PURPOSES",,,,"National","APPROPRIATIONS","GERONA-ROBREDO, MARIA LEONOR","Pending with the Committee on APPROPRIATIONS since 2015-09-14","bill","primary author","no",
2015-09-14,"HB06132","AN ACT APPROPRIATING FUNDS FOR THE OPERATION OF THE GOVERNMENT OF THE REPUBLIC OF THE PHILIPPINES FROM JANUARY ONE TO DECEMBER THIRTY-ONE, TWO THOUSAND AND SIXTEEN, AND FOR OTHER PURPOSES"," Appropriating Funds For The Operation Of The Government Of The Republic Of The Philippines From January One To December Thirty-one, Two Thousand And Sixteen","RA10717"," AN ACT APPROPRIATING FUNDS FOR THE OPERATION OF THE GOVERNMENT OF THE REPUBLIC OF THE PHILIPPINES FROM JANUARY ONE TO DECEMBER THIRTY ONE, TWO THOUSAND AND SIXTEEN, AND FOR OTHER PURPOSES","National","APPROPRIATIONS","UNGAB, ISIDRO T.; BELMONTE, FELICIANO JR. R.; NAVA, JOAQUIN CARLOS RAHMAN A.; ANGPING, MARIA ZENAIDA B.; SY-ALVARADO, MA. VICTORIA R.; ANDAYA, ROLANDO JR. G.; VIOLAGO, JOSEPH GILBERT F.; LACSON-NOEL, JOSEPHINE VERONIQUE R.; ALMARIO, THELMA Z.; ONG, EMIL LAO; CUA, DAKILA CARLO E.; ABAYON, HARLIN C.; ALVAREZ, MERCEDES KHO; EVARDONE, BEN P.; SINGSON, ERIC D.; ZAMORA, MARIA CARMEN S.; SEMA, BAI SANDRA A.; QUISUMBING, GABRIEL LUIGI R.; LOBREGAT, CELSO; TEVES, PRYDE HENRY A.","Republic Act RA10717 enacted on 2015-12-22","bill","co-author","yes",2015-12-22
2015-09-15,"HB06135","AN ACT ESTABLISHING THE COCONUT FARMERS AND INDUSTRY TRUST FUND AND PROVIDING FOR ITS MANAGEMENT AND UTILIZATION"," Establishing The Coconut Farmers And Industry Trust Fund",,,"National","RULES","MENDOZA, MARK LLANDRO L.; GARIN, SHARON S.; TAN, ANGELINA ""HELEN"" D.L. M.D.; DEL ROSARIO, ANTHONY G.; LEE, DELPHINE G.; SATO, JOSEPHINE R.; BAG-AO, KAKA J.","Approved by the House on 2015-10-09, transmitted to the Senate on 2015-10-15 and received by the Senate on 2015-10-15","bill","co-author","no",
2015-09-15,"HB06141","AN ACT ENHANCING THE NATIONAL INTEGRATED PROTECTED AREAS SYSTEM (NIPAS), PROVIDING FOR ITS MANAGEMENT, AND REPEALING FOR THE PURPOSE REPUBLIC ACT NO. 7586 AS AMENDED"," Enhancing The National Integrated Protected Areas System ( N I P A S)",,,"National","RULES","SATO, JOSEPHINE R.","Substituted by HB06328, Mother Bill Status: Unfinished Business (Period of Amendments)","bill","co-author","no",
2015-11-03,"HB06245","AN ACT AMENDING REPUBLIC ACT NO. 10591, OTHERWISE KNOWN AS AN ACT PROVIDING FOR A COMPREHENSIVE LAW ON FIREARMS AND AMMUNITION AND PROVIDING PENALTIES FOR VIOLATIONS THEREOF",,,,"National","PUBLIC ORDER AND SAFETY","GERONA-ROBREDO, MARIA LEONOR","Pending with the Committee on PUBLIC ORDER AND SAFETY since 2015-11-11","bill","primary author","no",
2015-11-11,"HB06286","AN ACT PROHIBITING GOVERNMENT OFFICES AND AGENCIES FROM DENYING CITIZENS ACCESS TO FRONTLINE SERVICES AND ATTENDANCE IN PUBLIC MEETINGS ON THE BASIS OF ATTIRE",,,,"National","CIVIL SERVICE AND PROFESSIONAL REGULATION","BAG-AO, KAKA J.","Pending with the Committee on CIVIL SERVICE AND PROFESSIONAL REGULATION since 2015-11-24","bill","co-author","no",
2015-12-09,"HB06328","AN ACT ENSURING THE PRESERVATION AND MANAGEMENT OF PROTECTED AREAS, AMENDING FOR THE PURPOSE REPUBLIC ACT NO. 7586 OTHERWISE KNOWN AS THE NATIONAL INTEGRATED PROTECTED AREAS SYSTEM ACT OF 1992","  Ensuring The Preservation And Management Of Protected Areas, Amending For The Purpose Republic Act No. 7586 Otherwise Known As The National Integrated Protected Areas System Act Of 1992",,,"National","RULES","SATO, JOSEPHINE R.","Unfinished Business (Period of Amendments)","bill","co-author","no",
2015-12-15,"HB06349","AN ACT INSTITUTING A NATIONWIDE CONDITIONAL CASH TRANSFER PROGRAM OUTLINING ITS POLICIES, FRAMEWORK, STRUCTURE, PROVIDING FUNDS THEREFOR AND FOR OTHER PURPOSES",,,,"National","POVERTY ALLEVIATION","GERONA-ROBREDO, MARIA LEONOR","Pending with the Committee on POVERTY ALLEVIATION since 2016-01-18","bill","primary author","no",
2016-01-14,"HB06387","AN ACT STRENGTHENING THE BARANGAY UNIT THROUGH SUPPORT FOR BARANGAY OFFICIALS AND BARANGAY VOLUNTEER WORKERS AMENDING REPUBLIC ACT 7160, PROVIDING FUNDS THEREFOR, AND FOR OTHER PURPOSES",,,,"National","LOCAL GOVERNMENT","GERONA-ROBREDO, MARIA LEONOR","Substituted by HB06443, Mother Bill Status: Pending With Rules (Included in OB on 2016-05-23)","bill","primary author","no",
2016-01-20,"HB06393","AN ACT INSTITUTIONALIZING THE PANTAWID PAMILYANG PILIPINO PROGRAM (4Ps) TO REDUCE POVERTY AND PROMOTE HUMAN CAPITAL DEVELOPMENT AND PROVIDING FUNDS THEREEFOR"," Institutionalizing The Pantawid Pamilyang Pilipino Program (4 Ps) To Reduce Poverty And Promote Human Capital Development",,,"National","RULES","YAP, SUSAN A.; YAP, ARTHUR CUA; MACAPAGAL-ARROYO, GLORIA; ARROYO, DIOSDADO MACAPAGAL; OLIVAREZ, ERIC D.; RODRIGUEZ, RUFUS B.; RODRIGUEZ, MAXIMO JR. B.; TEODORO, MARCELINO R.; GUTIERREZ, IBARRA III M.; KATOH, ANGELINA LUDOVICE; VARGAS, ALFREDO III D.; CASTELO, WINSTON ""WINNIE""; SUANSING, GING","Approved by the House on 2016-02-01, transmitted to the Senate on 2016-02-04 and received by the Senate on 2016-02-04","bill","co-author","no",
2016-01-26,"HB06402","AN ACT DECLARING ANY PRESIDENTIAL NOMINEE WHO HAS BEEN BYPASSED BY THE COMMISSION ON APPOINTMENTS TO BE INELIGIBLE FOR REAPPOINTMENT BY THE PRESIDENT"," Declaring Any Presidential Nominee Who Has Been Bypassed By The Commission On Appointments To Be Ineligible For Reappointment By The President",,,"National","RULES","ABAYA, FRANCIS GERALD A.","Pending With Rules (Included in OB on 2016-02-01)","bill","co-author","no",
2016-02-03,"HB06442","AN ACT CHANGING THE TERM OF OFFICE OF ELECTIVE BARANGAY OFFICIALS AND MEMBERS OF THE SANGGUNIANG KABATAAN FROM THREE (3) TO FIVE (5) YEARS, AMENDING FOR THE PURPOSE SECTION 43 OF REPUBLIC ACT NO. 7160, AS AMENDED, OTHERWISE KNOWN AS THE LOCAL GOVERNMENT CODE OF 1991"," Changing The Term Of Office Of Elective Barangay Officials And Members Of The Sangguniang Kabataan From Three (3) To Five (5) Years",,,"National","RULES","GERONA-ROBREDO, MARIA LEONOR","Pending With Rules (Included in OB on 2016-05-23)","bill","primary author","no",
2016-02-03,"HB06443","AN ACT STRENGTHENING THE BARANGAYS THROUGH SUPPORT FOR BARANGAY OFFICIALS AND VOLUNTEER WORKERS"," Strengthening The Barangays Through Support For Barangay Officials And Volunteer Workers",,,"National","RULES","GERONA-ROBREDO, MARIA LEONOR","Pending With Rules (Included in OB on 2016-05-23)","bill","primary author","no",
2016-02-03,"HB06446","AN ACT PRESCRIBING A CODE OF CONDUCT FOR THE EVICTION OF UNDERPRIVILEGED AND HOMELESS CITIZENS OR THE DEMOLITION OF THEIR DWELLINGS, PROVIDING PENALTIES FOR VIOLATION THEREOF, AND APPROPRIATING FUNDS THEREFOR, AMENDING FOR THE PURPOSE REPUBLIC ACT NUMBERED 7279, OTHERWISE KNOWN AS THE ""URBAN DEVELOPMENT AND HOUSING ACT OF 1992"""," Prescribing A Code Of Conduct For The Eviction Of Underprivileged And Homeless Citizens Or The Demolition Of Their Dwellings",,,"National","RULES","TAMBUNTING, GUS S.","Pending With Rules (Included in OB on 2016-05-23)","bill","co-author","no",
2016-02-16,"HB06467","AN ACT REQUIRING FULL DISCLOSURE OF INFORMATION ON FISCAL MANAGEMENT FROM ALL NATIONAL GOVERNMENT DEPARTMENTS, BUREAUS, OFFICES, AGENCIES AND OTHER INSTRUMENTALITIES, INCLUDING GOVERNMENT-OWNED OR CONTROLLED CORPORATIONS AND THEIR SUBSIDIARIES, AND LOCAL GOVERNMENT UNITS, AND PROVIDING PENALTIES FOR VIOLATION THEREOF"," Requiring Full Disclosure Of Information On Fiscal Management From All National Government Departments, Bureaus, Offices, Agencies And Other Instrumentalities, Including Government - Owned Or Controlled Corporations And Their Subsidiaries, And Local Government Units",,,"National","RULES","GERONA-ROBREDO, MARIA LEONOR","Pending With Rules (Included in OB on 2016-05-23)","bill","primary author","no",
